Word,Frequency,NonStopWord,Probability
project,89,True,0.00646
gutenberg,97,True,0.00704
ebook,13,True,0.00094
philosophy,85,True,0.00617
united,18,True,0.00131
cost,3,True,0.00022
restrictions,2,True,0.00015
whatsoever,2,True,0.00015
terms,56,True,0.00406
license,18,True,0.00131
included,10,True,0.00073
online,4,True,0.00029
located,7,True,0.00051
check,4,True,0.00029
laws,33,True,0.00239
country,4,True,0.00029
title,1,True,7e-05
author,1,True,7e-05
bertrand,3,True,0.00022
russell,3,True,0.00022
release,1,True,7e-05
june,1,True,7e-05
1,60,True,0.00435
2004,1,True,7e-05
5827,1,True,7e-05
updated,2,True,0.00015
december,1,True,7e-05
5,7,True,0.00051
2019,1,True,7e-05
language,3,True,0.00022
english,1,True,7e-05
start,9,True,0.00065
produced,4,True,0.00029
gordon,1,True,7e-05
keener,1,True,7e-05
preface,1,True,7e-05
confined,6,True,0.00044
main,7,True,0.00051
regard,25,True,0.00181
positive,4,True,0.00029
constructive,1,True,7e-05
negative,2,True,0.00015
criticism,8,True,0.00058
reason,53,True,0.00385
theory,22,True,0.0016
knowledge,306,True,0.02221
occupies,2,True,0.00015
larger,1,True,7e-05
space,74,True,0.00537
metaphysics,4,True,0.00029
volume,1,True,7e-05
topics,1,True,7e-05
discussed,2,True,0.00015
philosophers,37,True,0.00269
treated,1,True,7e-05
derived,17,True,0.00123
valuable,4,True,0.00029
assistance,3,True,0.00022
unpublished,1,True,7e-05
writings,2,True,0.00015
moore,1,True,7e-05
keynes,1,True,7e-05
relations,44,True,0.00319
sense,234,True,0.01698
data,138,True,0.01001
physical,101,True,0.00733
objects,95,True,0.00689
probability,18,True,0.00131
induction,15,True,0.00109
profited,1,True,7e-05
greatly,2,True,0.00015
criticisms,1,True,7e-05
suggestions,1,True,7e-05
professor,2,True,0.00015
gilbert,1,True,7e-05
murray,1,True,7e-05
1912,1,True,7e-05
chapter,47,True,0.00341
appearance,15,True,0.00109
reality,16,True,0.00116
reasonable,7,True,0.00051
doubt,38,True,0.00276
question,59,True,0.00428
sight,16,True,0.00116
difficult,23,True,0.00167
realized,1,True,7e-05
obstacles,1,True,7e-05
straightforward,1,True,7e-05
confident,2,True,0.00015
answer,27,True,0.00196
launched,1,True,7e-05
study,12,True,0.00087
attempt,16,True,0.00116
ultimate,7,True,0.00051
questions,27,True,0.00196
carelessly,1,True,7e-05
dogmatically,2,True,0.00015
ordinary,7,True,0.00051
life,32,True,0.00232
sciences,5,True,0.00036
critically,2,True,0.00015
exploring,1,True,7e-05
puzzling,1,True,7e-05
realizing,2,True,0.00015
vagueness,1,True,7e-05
confusion,8,True,0.00058
underlie,1,True,7e-05
ideas,37,True,0.00269
daily,8,True,0.00058
assume,10,True,0.00073
closer,1,True,7e-05
scrutiny,3,True,0.00022
apparent,13,True,0.00094
contradictions,5,True,0.00036
enables,6,True,0.00044
search,4,True,0.00029
certainty,32,True,0.00232
natural,14,True,0.00102
experiences,15,True,0.00109
statement,14,True,0.00102
wrong,6,True,0.00044
sitting,4,True,0.00029
chair,2,True,0.00015
table,93,True,0.00675
shape,24,True,0.00174
sheets,1,True,7e-05
paper,2,True,0.00015
writing,5,True,0.00036
print,4,True,0.00029
head,5,True,0.00036
window,1,True,7e-05
buildings,1,True,7e-05
clouds,1,True,7e-05
sun,31,True,0.00225
miles,1,True,7e-05
earth,7,True,0.00051
hot,1,True,7e-05
globe,1,True,7e-05
times,11,True,0.0008
bigger,1,True,7e-05
earth's,2,True,0.00015
rotation,2,True,0.00015
rises,2,True,0.00015
morning,2,True,0.00015
continue,6,True,0.00044
indefinite,2,True,0.00015
time,67,True,0.00486
future,26,True,0.00189
normal,4,True,0.00029
person,33,True,0.00239
chairs,2,True,0.00015
tables,2,True,0.00015
books,4,True,0.00029
papers,1,True,7e-05
feel,15,True,0.00109
pressing,1,True,7e-05
arm,3,True,0.00022
evident,37,True,0.00269
worth,5,True,0.00036
stating,2,True,0.00015
